"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"Y","Y","Y","N",,"DN","Y","DN","T",,"Y","N","Y","F",12,"N"
"Y","Y","Y","N","Y","Y","Y","DN","T",,"Y","N","Y","F",15,"N"
"DNS",,,,,,,,,,,,,,,
"Y","Y","Y","N","Y","DN","Y","DN","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"Y","DN","DN","N",,"Y","Y","DN","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"N","DN","N","Y",,"DN","Y","DN","H",,"Y",,,"N",0,"N"
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T",,"Y","N","Y","D",12,"N"
"Y","DN","DN","N",,"DN","Y","DN","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"Y","DN","Y","N",,"DN","Y","DN","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"Y","DN","Y","N",,"DN","Y","DN","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"Y","DN","DN","N",,"DN","Y","DN","T",,"Y","N","Y","F",12,"N"
"Y","DN","Y","N",,"Y","Y","Y","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T",,"Y","N","Y","F",12,"N"
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
"DNS",,,,,,,,,,,,,,,
