"Y","Y","Y","Y","Y","Y","Y","NR","H","N","N","Y","N","alone","free","N"
"Y","Y","Y","N","Y","Y","N","NR","Y",,,,,"alone","free","N"
"Y","N","Y","N","N","DN","Y","Y","T","N",,,,"date",12,"N"
"Y","Y","Y","N","Y","Y","Y","Y","T","Y",,,,"date",14,"Y"
"Y","Y","Y","N","Y","Y","Y","NR","H","Y",,,,"alone","free","N"
"Y","Y","Y","N","N","Y","Y","NR","T","Y",,,,"friends",12,"N"
"Y","Y","Y","N","Y","Y","Y","Y","T","N",,,,"friends",14,"Y"
"Y","Y","Y","N","N","Y","Y","Y","T","N",,,,"friends",14,"N"
"Y","Y","Y","N","N","Y","Y","Y","H","N",,,,"alone","free","N"
"Y","Y","Y","N","N","N","Y","Y","H","N",,,,"alone","free","N"
"Y","Y","Y","N","N","Y","Y","Y","T","N",,,,"friends",14,"Y"
"Y","Y","Y","Y","N","Y","Y","Y","T","N",,,,"friends",10,"Y"
"Y","Y","Y","Y","N","Y","Y","Y","T","N",,,,"friends",14,"Y"
"N","N","Y","Y","N","Y","Y","NR","H","N",,,,"alone","free","N"
"Y","Y","Y","N","Y","Y","Y","NR","H","Y",,,,"alone","free","N"
"Y","Y","Y","N","Y","Y","Y","NR","H","Y",,,,"alone","free","N"
"Y","Y","N","N","N","Y","Y","NR","H","N",,,,"alone","free","N"
"Y","Y","Y","N","N","Y","Y","Y","T","N",,,,"friends",12,"N"
"Y","Y","Y","N","Y","Y","Y","Y","T","Y",,,,"friends",12,"Y"
"Y","Y","Y","N","N","Y","Y","NR","H","N",,,,"alone","free","N"
"Y","Y","Y","N","Y","Y","Y","Y","T","Y",,,,"friends",14,"Y"
"Y","Y","Y","N","Y","Y","Y","Y","H","Y",,,,,"free","N"
"Y","Y","Y","N","Y","Y","Y","NR","H","Y",,,,"friends","free","N"
"Y","Y","Y","N","N","Y","Y","Y","T","N",,,,"friends",12,"Y"
"Y","Y","Y","N","Y","Y","Y","NR","T","Y",,,,"friends",12,"Y"
"Y","Y","Y","Y","N","Y","Y","Y","T","N",,,,"friends",12,"Y"
"Y","Y","N","Y","N","DN","DN","NR","H","N",,,,"alone","free","N"
"Y","Y","Y","N","N","Y","Y","N","H","N",,,,"alone","free","N"
"Y","Y","Y","N","N","Y","Y","N","H","N",,,,"alone","free","N"
